2024-02-17 19:44:29,598 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:45:15,047 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:45:59,918 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:46:45,141 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:47:30,612 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:48:16,109 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:49:01,869 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:49:47,542 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:50:36,881 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:51:21,968 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:52:10,920 INFO    MainThread:453540 [wandb_run.py:_config_callback():1343] config_cb ('_wandb', 'visualize', 'valid/roc_curve') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'fpr', 'y': 'tpr', 'class': 'class'}, 'stringSettings': {'title': 'ROC', 'x-axis-title': 'False positive rate', 'y-axis-title': 'True positive rate'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'valid/roc_curve_table'}], 'fields': []}]}]}}} None
2024-02-17 19:52:22,589 INFO    MainThread:453540 [wandb_run.py:_finish():1970] finishing run akshar1895/vehical_insurance_fraud_detection/o9wg1331
2024-02-17 19:52:22,589 INFO    MainThread:453540 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-17 19:52:22,589 INFO    MainThread:453540 [wandb_run.py:_restore():2193] restore
2024-02-17 19:52:22,589 INFO    MainThread:453540 [wandb_run.py:_restore():2199] restore done
2024-02-17 19:52:43,214 INFO    MainThread:453540 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-17 19:52:43,214 INFO    MainThread:453540 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-17 19:52:43,218 INFO    MainThread:453540 [wandb_run.py:_footer_sync_info():3825] logging synced files
